"","Region_A","Region_B","PAR_A","PAR_B","Distance","Risk_Flow"
"22","Bali_98","Jawa Timur_73",19.9647059366836,18.3429474179219,296.397948659798,1.2355401002832
"23","Bali_98","Jawa Timur_95",19.9647059366836,11.1874087957934,211.828585375211,1.05440597833318
"24","Bali_98","Jawa Barat_70",19.9647059366836,20.7114028066288,841.784014362891,0.491215156756696
"25","Bali_98","Jawa Barat_69",19.9647059366836,17.9495052346836,735.392938331285,0.487299476294383
"26","Bali_98","Jawa Timur_74",19.9647059366836,6.96149429278175,347.284239388256,0.400202976904771
"27","Bali_98","Jawa Tengah_79",19.9647059366836,5.82525780279879,436.761940233832,0.26627677076438
"28","Bali_98","Jawa Tengah_72",19.9647059366836,35.2294237713063,627.288351619316,1.12124684620285
"29","Bali_98","Jawa Barat_67",19.9647059366836,10.9970530275059,724.470818186479,0.303052827460829
"30","Bali_98","Jawa Timur_64",19.9647059366836,5.07647899350594,395.026284498141,0.256566244516761
"31","Bali_98","Jawa Tengah_66",19.9647059366836,15.7267452620899,702.869352675021,0.446711530818345
"32","Bali_98","Jawa Tengah_61",19.9647059366836,23.3590808129125,657.408928102541,0.709386744605157
"33","Bali_98","Jawa Timur_65",19.9647059366836,36.02815430366,320.46270651745,2.24454044569104
"34","Bali_98","Jawa Tengah_60",19.9647059366836,21.8077428084008,682.532521502383,0.637896596273808
"35","Bali_98","Jawa Barat_68",19.9647059366836,38.4133630973199,798.724801571893,0.960169881751214
"36","Bali_98","Jawa Barat_56",19.9647059366836,25.1086055990274,751.977394823577,0.666623665439248
"37","Bali_98","Jawa Barat_57",19.9647059366836,20.8183499112068,787.72448574899,0.527636555145334
"38","Bali_98","Jawa Timur_59",19.9647059366836,10.7504826429271,293.526850317236,0.731211554961646
"39","Bali_98","Jawa Timur_62",19.9647059366836,7.57116996343007,338.549972351536,0.446481152742729
"40","Bali_98","Jawa Timur_63",19.9647059366836,4.86847549721352,361.161918022624,0.269124945935548
"41","Bali_98","Jawa Tengah_51",19.9647059366836,23.8268310607164,608.977701848608,0.781138084508225
