Host binomial,Class,Order,Family,Human-shared pathogens,Reservoir zoonotic pathogens (strict),Non human-shared pathogens,Human-shared pathogen diversity,Evidence of host status,Zoonotic agent host (strict),Pathogen richness (human-shared),Pathogen richness (not human-shared),Data sources,Num studies (PREDICTS),Num sites (PREDICTS)
Cephalophus dorsalis,Mammalia,Cetartiodactyla,Bovidae,"O'nyong-nyong, Trypanosoma brucei",Trypanosoma brucei,"Bluetongue, Bovine herpesvirus 1, Trypanosoma congolense, Trypanosoma simiae, Trypanosoma vivax","virus, protozoa",Detection/ reservoir,1,2,0,"GMPD2, Olival",3,160
Connochaetes taurinus,Mammalia,Cetartiodactyla,Bovidae,"Foot-and-mouth disease, Leptospira interrogans, Mycobacterium bovis, Rift valley, Toxoplasma gondii",Mycobacterium bovis,"Agriostomum gorgonis, Akabane, Alcelaphine herpesvirus 1, Alcelaphine herpesvirus 2, Bluetongue, Bovine alphaherpesvirus 1, Bovine alphaherpesvirus 2, Bovine ephemeral fever, Bovine herpesvirus 3, Bovine viral diarrhea virus 1, Cooperia connochaeti, Dictyocaulus viviparus, Gaigeria pachyscelis, Haemonchus bedfordi, Lumpy skin disease, Moniezia benedeni, Rinderpest, Stilesia hepatica, Taenia regis, Trichostrongylus falculatus, Trichostrongylus thomasi","bacteria/rickettsia, virus, helminth, protozoa",Detection/ reservoir,1,11,7,"EID2, GMPD2, Olival",1,84
Ovis ammon,Mammalia,Cetartiodactyla,Bovidae,"Tick-borne encephalitis, Toxoplasma gondii",Tick-borne encephalitis,"Capillaria bovis, Nematodirus filicollis, Nematodirus spathiger, Ostertagia trifurcata, Trichuris ovis","helminth, virus, protozoa",Detection/ reservoir,1,3,0,GMPD2,1,46
Philantomba monticola,Mammalia,Cetartiodactyla,Bovidae,"O'nyong-nyong, Trypanosoma brucei",Trypanosoma brucei,"Bluetongue, Cooperia rotundispiculum, Trichostrongylus angistris, Trichostrongylus anomalus, Trichostrongylus falculatus, Trichostrongylus rugatus, Trypanosoma congolense, Trypanosoma simiae, Trypanosoma theileri, Trypanosoma vivax","virus, helminth, protozoa",Detection/ reservoir,1,4,3,"EID2, GMPD2, Olival",3,175
Sylvicapra grimmia,Mammalia,Cetartiodactyla,Bovidae,"Crimean-congo hemorrhagic fever, Foot-and-mouth disease",NA,"Bovine viral diarrhea virus 1, Cooperia acutispiculum, Cooperia hungi, Cooperia neitzi, Cooperia pectinata, Haemonchus vegliai, Impalaia tuberculata, Longistrongylus sabie, Nematodirus spathiger, Peste-des-petits-ruminants, Selenomonas ruminantium, Setaria caelum, Setaria scalprum, Stilesia hepatica, Trichostrongylus falculatus, Trichostrongylus thomasi","virus, helminth",Serological,1,10,9,"EID2, GMPD2, Olival",1,84
Syncerus caffer,Mammalia,Cetartiodactyla,Bovidae,"Brucella abortus, Crimean-congo hemorrhagic fever, Foot-and-mouth disease, Haemonchus contortus, Leptospira interrogans, Mycobacterium bovis, O'nyong-nyong, Rhodococcus equi, Rift valley, Toxoplasma gondii","Haemonchus contortus, Mycobacterium bovis, Rhodococcus equi","Africanostrongylus buceros, Agriostomum gorgonis, Akabane, Anaplasma marginale, Bluetongue, Bovine alphaherpesvirus 1, Bovine alphaherpesvirus 2, Bovine ephemeral fever, Bovine herpesvirus 2, Bovine herpesvirus 3, Bovine herpesvirus 4, Bovine parainfluenza virus 3, Bovine respiratory syncytial, Bovine viral diarrhea virus 1, Carmyerius gregarius, Cotylophoron macrosphinctris, Impalaia tuberculata, Lumpy skin disease, Parafilaria bassoni, Rinderpest, Theileria buffeli, Theileria mutans, Theileria parva, Trypanosoma evansi, Trypanosoma theileri","bacteria/rickettsia, virus, helminth, protozoa",Detection/ reservoir,1,14,7,"EID2, GMPD2, Olival",3,180
Taurotragus oryx,Mammalia,Cetartiodactyla,Bovidae,"Crimean-congo hemorrhagic fever, Foot-and-mouth disease, Leptospira interrogans, Toxoplasma gondii",,"Agriostomum gorgonis, Anaplasma marginale, Bluetongue, Bovine alphaherpesvirus 1, Bovine ephemeral fever, Bovine viral diarrhea virus 1, Bronchonema magna, Cooperia rotundispiculum, Haemonchus bedfordi, Haemonchus mitchelli, Moniezia benedeni, Nematodirus spathiger","bacteria/rickettsia, virus, helminth, protozoa",Serological,1,8,5,GMPD2,1,84
Tragelaphus scriptus,Mammalia,Cetartiodactyla,Bovidae,"Foot-and-mouth disease, Toxoplasma gondii",NA,"Akabane, Bovine alphaherpesvirus 1, Bovine viral diarrhea virus 1, Cooperia neitzi, Cordophilus sagittus, Dictyocaulus viviparus, Haemonchus vegliai, Oesophagostomum radiatum, Ostertagia harrisi, Paracooperia devossi, Pneumostrongylus calcaratus, Setaria africana, Stilesia hepatica, Trichostrongylus falculatus","bacteria/rickettsia, virus, protozoa, helminth",Serological,1,4,7,"GMPD2, Olival",2,94
Tragelaphus spekii,Mammalia,Cetartiodactyla,Bovidae,Trypanosoma brucei,Trypanosoma brucei,"Trypanosoma theileri, Trypanosoma vivax","virus, protozoa",Detection/ reservoir,1,2,0,"EID2, GMPD2",1,86
Axis axis,Mammalia,Cetartiodactyla,Cervidae,Foot-and-mouth disease,Foot-and-mouth disease,"Bluetongue, Capillaria bovis, Cooperia punctata, Cotylophoron indicum, Epizootic hemorrhagic disease, Moniezia benedeni, Oesophagostomum venulosum, Orthocoelium scoliocoelium, Sarcocystis axicuonis, Theileria cervi, Trypanosoma evansi","virus, helminth",Detection/ reservoir,1,4,3,"GMPD2, Olival",1,9
Muntiacus muntjak,Mammalia,Cetartiodactyla,Cervidae,Foot-and-mouth disease,NA,Neorhabditostomum yeni,virus,Serological,1,1,1,"GMPD2, Olival",1,9
Odocoileus virginianus,Mammalia,Cetartiodactyla,Cervidae,"Anaplasma phagocytophilum, Babesia bovis, Bartonella schoenbuchensis, Borrelia burgdorferi, Bunyamwera, California encephalitis, Ehrlichia chaffeensis, Ehrlichia ewingii, Foot-and-mouth disease, Human parainfluenza virus 3, Jamestown canyon, Leptospira interrogans, Mycobacterium avium, Mycobacterium bovis, Rickettsia amblyommii, Toxoplasma gondii, Venezuelan equine encephalitis, Vesicular stomatitis indiana, West nile","Bartonella schoenbuchensis, Ehrlichia chaffeensis, Ehrlichia ewingii, Foot-and-mouth disease, Jamestown canyon","Alcelaphine herpesvirus 1, Anaplasma marginale, Apteragia odocoilei, Apteragia pursglovei, Babesia bigemina, Babesia odocoilei, Bluetongue, Borrelia lonestari, Bovine alphaherpesvirus 1, Bovine herpesvirus 1, Bovine respiratory syncytial, Bovine viral diarrhea virus 1, Capillaria bovis, Chronic wasting disease, Deer adenovirus, Deer papillomavirus, Dictyocaulus viviparus, Eimeria madisonensis, Eimeria mccordocki, Eimeria odocoilei, Elaeophora schneideri, Epizootic hemorrhagic disease, Eucyathostomum webbi, Fascioloides magna, Gongylonema verrucosum, Indiana vesiculovirus, Mazamastrongylus odocoilei, Monodontus louisianensis, Nematodirus odocoilei, Neospora caninum, New jersey vesiculovirus, Oesophagostomum venulosum, Onchocerca cervipedis, Ostertagia dikmansi, Ostertagia mossi, Paramphistomum liorchis, Parelaphostrongylus andersoni, Parelaphostrongylus tenuis, Sarcocystis odocoileocanis, Setaria yehi, Spiculopteragia odocoilei, Spiculopteragia pursglovei, Taenia omissa, Theileria cervi, Thysanosoma actinioides, Trichostrongylus askivali, Trichostrongylus dosteri, Trypanosoma cervi, Varestrongylus alpenae","bacteria/rickettsia, protozoa, virus, helminth",Detection/ reservoir,1,33,22,"EID2, GMPD2, Olival, Plourde",2,32
Rusa unicolor,Mammalia,Cetartiodactyla,Cervidae,Foot-and-mouth disease,Foot-and-mouth disease,"Capillaria bovis, Elaeophora schneideri, Gongylonema verrucosum, Ovine herpesvirus 2, Paramphistomum liorchis, Setaria yehi, Trichostrongylus askivali, Trypanosoma evansi","virus, bacteria/rickettsia, helminth",Detection/ reservoir,1,5,4,"EID2, GMPD2, Olival",2,221
Pecari tajacu,Mammalia,Cetartiodactyla,Tayassuidae,Canine distemper,NA,"Parabronema pecariae, Trypanosoma evansi","virus, protozoa",Serological,0,3,1,"EID2, GMPD2",7,119
Diclidurus albus,Mammalia,Chiroptera,Emballonuridae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,Olival,1,46
Saccolaimus flaviventris,Mammalia,Chiroptera,Emballonuridae,Australian bat lyssavirus,Australian bat lyssavirus,,virus,Detection/ reservoir,1,1,0,"EID2, Olival, Plourde",2,281
Hipposideros armiger,Mammalia,Chiroptera,Hipposideridae,"Japanese encephalitis, Nipah",Japanese encephalitis,,virus,Detection/ reservoir,1,2,0,Olival,1,2
