Host binomial,Class,Order,Family,Human-shared pathogens,Reservoir zoonotic pathogens (strict),Non human-shared pathogens,Human-shared pathogen diversity,Evidence of host status,Zoonotic agent host (strict),Pathogen richness (human-shared),Pathogen richness (not human-shared),Data sources,Num studies (PREDICTS),Num sites (PREDICTS)
Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,"Balantidium coli, Entamoeba coli, Entamoeba hartmanni, Entamoeba histolytica, Enterobius vermicularis, Enterovirus b, Necator americanus, O'nyong-nyong, Primate t-lymphotropic virus 1, Simian foamy, Staphylococcus aureus","Balantidium coli, Entamoeba histolytica, Enterobius vermicularis, Necator americanus, Staphylococcus aureus","Brodenia laciniata, Dipetalonema witei, Endolimax nana, Hepatocystis kochi, Macacine herpesvirus 5, Mansonella vanhoofi, Oesophagostomum brumpti, Plasmodium gonderi, Pseudolimax butschlii, Simian immunodeficiency, Watsonius deschieni","protozoa, helminth, virus, bacteria/rickettsia",Detection/ reservoir,1,17,11,"EID2, GMPD2, Olival",1,86
Gorilla gorilla,Mammalia,Primates,Hominidae,"Achromobacter xylosoxidans, Bacillus anthracis, Balantidium coli, Capillaria hepatica, Entamoeba coli, Entamoeba hartmanni, Entamoeba histolytica, Enterovirus a, Enterovirus d, Hepatitis b, Human adenovirus b, Human adenovirus c, Human adenovirus f, Human herpesvirus 1, Human mastadenovirus f, Loa loa, Oesophagostomum stephanostomum, Pentatrichomonas hominis, Plasmodium falciparum, Plasmodium ovale, Plasmodium vivax, Primate t-lymphotropic virus 1, Simian foamy, Staphylococcus aureus, Strongyloides fuelleborni, Zaire ebolavirus","Bacillus anthracis, Balantidium coli, Capillaria hepatica, Entamoeba histolytica, Human adenovirus b, Human adenovirus c, Loa loa, Oesophagostomum stephanostomum, Pentatrichomonas hominis, Staphylococcus aureus, Strongyloides fuelleborni, Zaire ebolavirus","Anoplocephala gorillae, Chitwoodspirura wehri, Entamoeba suis, Enterobius lerouxi, Gorillophilus thoracatus, Hyostrongylus kigeziensis, Iodamoeba butschlii, Mansonella leopoldi, Mansonella lopeensis, Mansonella perstans, Mansonella vanhoofi, Murshidia devians, Oesophogostomum apiostomum, Paralibyostrongylus kalinae, Plasmodium adleri, Plasmodium blacklocki, Plasmodium praefalciparum, Plasmodium reichenowi, Plasmodium rodhani, Plasmodium schwetzi, Pongine herpesvirus 3, Primate t-lymphotropic virus 4, Probstmayria gorillae, Prototapirella gorillae, Simian immunodeficiency, Troglodytella abrassarti, Trypanosoma primatum","bacteria/rickettsia, protozoa, helminth, virus",Detection/ reservoir,1,35,26,"EID2, GMPD2, Olival",1,86
Pan troglodytes,Mammalia,Primates,Hominidae,"Ascaris lumbricoides, Bacillus anthracis, Balantidium coli, Bertiella studeri, Bunyamwera, Cercopithecine herpesvirus 1, Chikungunya, Clostridium perfringens, Encephalomyocarditis, Entamoeba chattoni, Entamoeba coli, Entamoeba hartmanni, Entamoeba histolytica, Enterovirus a, Enterovirus d, Gb virus c, Hepatitis a, Hepatitis b, Human adenovirus a, Human adenovirus b, Human adenovirus c, Human adenovirus d, Human adenovirus e, Human adenovirus f, Human gammaherpesvirus 8, Human herpesvirus 1, Human immunodeficiency virus 1, Human mastadenovirus b, Human mastadenovirus c, Human mastadenovirus d, Human mastadenovirus e, Human metapneumovirus, Human respiratory syncytial, Mansonella streptocercum, Monkeypox, Mycobacterium tuberculosis, Necator americanus, Oesophagostomum stephanostomum, Pentatrichomonas hominis, Physaloptera caucasia, Plasmodium falciparum, Plasmodium malariae, Plasmodium ovale, Plasmodium vivax, Primate t-lymphotropic virus 1, Simian foamy, Staphylococcus aureus, Strongyloides fuelleborni, Tai forest ebolavirus, Torque teno, Treponema pallidum, Trichuris trichiura, Zaire ebolavirus","Ascaris lumbricoides, Bacillus anthracis, Balantidium coli, Bertiella studeri, Cercopithecine herpesvirus 1, Clostridium perfringens, Encephalomyocarditis, Entamoeba chattoni, Entamoeba histolytica, Hepatitis a, Human adenovirus b, Human adenovirus c, Mansonella streptocercum, Mycobacterium tuberculosis, Necator americanus, Oesophagostomum stephanostomum, Pentatrichomonas hominis, Physaloptera caucasia, Plasmodium malariae, Primate t-lymphotropic virus 1, Staphylococcus aureus, Strongyloides fuelleborni, Tai forest ebolavirus, Trichuris trichiura, Zaire ebolavirus","Campylobacter troglodytis, Chilomastix mesnili, Dipetalonema rodhaini, Endolimax nana, Enterobius anthropopitheci, Hepatocystis kochi, Iodamoeba butschlii, Necator congolensis, Panine herpesvirus 2, Plasmodium billbrayi, Plasmodium billcollinsi, Plasmodium gaboni, Plasmodium reichenowi, Plasmodium rodhani, Plasmodium schwetzi, Pongine herpesvirus 4, Probstmayria gombensis, Simian adenovirus a, Simian enterovirus a, Simian immunodeficiency, Torque teno virus 14, Torque teno virus 2, Torque teno virus 23, Troglocorys cava, Troglodytella abrassarti, Trypanosoma primatum","helminth, bacteria/rickettsia, protozoa, virus",Detection/ reservoir,1,72,25,"EID2, GMPD2, Olival, Plourde",2,96
Pongo pygmaeus,Mammalia,Primates,Hominidae,"Balantidium coli, Dengue, Dirofilaria immitis, Entamoeba coli, Entamoeba histolytica, Enterovirus b, Hepatitis a, Hepatitis b, Human gammaherpesvirus 4, Human herpesvirus 1, Human herpesvirus 4, Human picobirnavirus, Human respiratory syncytial, Japanese encephalitis, Marburg, Mumps, Primate t-lymphotropic virus 1, Rotavirus a, Simian foamy, Sindbis, Tembusu, Zaire ebolavirus, Zika","Balantidium coli, Dirofilaria immitis, Entamoeba histolytica, Hepatitis b","Enterobius buckleyi, Leipertrema rewelli, Plasmodium cynomolgi, Plasmodium pitheci, Pongine herpesvirus 2, Trypanosoma evansi","protozoa, virus, helminth",Detection/ reservoir,1,25,5,"EID2, GMPD2, Olival",3,74
Varecia variegata,Mammalia,Primates,Lemuridae,Encephalomyocarditis,,Pararhabdonema longistriata,"virus, protozoa",Serological,1,3,1,"EID2, GMPD2, Olival",1,6
Chiropotes satanas,Mammalia,Primates,Pitheciidae,Leishmania shawi,Leishmania shawi,"Plasmodium brasilianum, Trypanosoma lambrechti, Trypanosoma mycetae, Trypanoxyuris satanas",protozoa,Detection/ reservoir,1,1,4,GMPD2,1,2
Pithecia pithecia,Mammalia,Primates,Pitheciidae,"Mayaro, Plasmodium falciparum, Yellow fever",,"Plasmodium brasilianum, Trypanosoma lambrechti, Trypanoxyuris trypanuris","protozoa, virus, fungi",Serological,1,6,3,"EID2, GMPD2, Olival",1,35
Elephas maximus,Mammalia,Proboscidea,Elephantidae,"Foot-and-mouth disease, Rabies","Foot-and-mouth disease, Rabies","Bifidobacterium boum, Bluetongue, Bovine herpesvirus 2, Elephantid herpesvirus 1, Fasciola jacksoni","bacteria/rickettsia, virus, fungi",Detection/ reservoir,1,4,3,"EID2, Olival",1,9
Loxodonta africana,Mammalia,Proboscidea,Elephantidae,"Crimean-congo hemorrhagic fever, Encephalomyocarditis, Foot-and-mouth disease","Encephalomyocarditis, Foot-and-mouth disease","African horse sickness, Bluetongue, Protofasciola robusta",virus,Detection/ reservoir,1,4,1,"EID2, Olival",1,10
Hydrochoerus hydrochaeris,Mammalia,Rodentia,Caviidae,"Lagochilascaris minor, Rabies","Lagochilascaris minor, Rabies","Hepatozoon canis, Protozoophaga obesa, Trypanosoma evansi","helminth, virus",Detection/ reservoir,1,2,1,"EID2, Olival, Plourde",1,5
Abrothrix longipilis,Mammalia,Rodentia,Cricetidae,Andes,Andes,,virus,Detection/ reservoir,1,1,0,"EID2, Olival",1,32
Abrothrix olivaceus,Mammalia,Rodentia,Cricetidae,Andes,NA,,virus,Serological,1,1,0,Olival,2,44
Akodon montensis,Mammalia,Rodentia,Cricetidae,"Andes, Angiostrongylus costaricensis, Jabora, St. louis encephalitis, Trypanosoma cruzi","Andes, Angiostrongylus costaricensis, Jabora, St. louis encephalitis, Trypanosoma cruzi",Besnoitia akodoni,"virus, helminth, protozoa",Detection/ reservoir,1,5,1,"EID2, Olival, Han",1,16
Calomys tener,Mammalia,Rodentia,Cricetidae,"Andes, Laguna negra","Andes, Laguna negra",,virus,Detection/ reservoir,1,2,0,"Olival, Han",2,46
Hylaeamys megacephalus,Mammalia,Rodentia,Cricetidae,"Caraparu, Catu, Changuinola, Flexal, Guama, Leishmania amazonensis, Marituba, Oriboca","Caraparu, Catu, Changuinola, Guama, Leishmania amazonensis, Marituba, Oriboca","Amapari, Cupixi","virus, protozoa",Detection/ reservoir,1,9,2,"EID2, Olival, Han",1,5
Loxodontomys micropus,Mammalia,Rodentia,Cricetidae,Andes,Andes,,virus,Detection/ reservoir,1,1,0,"EID2, Olival, Han",1,32
Microtus pennsylvanicus,Mammalia,Rodentia,Cricetidae,"Babesia microti, Cryptosporidium parvum, Eastern equine encephalitis, Echinococcus multilocularis, Mammalian orthoreovirus, Sin nombre","Babesia microti, Cryptosporidium parvum, Echinococcus multilocularis","Anoplocephaloides dentata, Murid herpesvirus 5, Paranoplocephala etholeni, Paranoplocephala macrocephala, Prospect hill, Theilovirus","protozoa, virus, helminth",Detection/ reservoir,1,7,5,"EID2, Olival, Han, Plourde",1,15
Myodes gapperi,Mammalia,Rodentia,Cricetidae,"Colorado tick fever, Ljungan",Ljungan,Prospect hill,"bacteria/rickettsia, virus",Detection/ reservoir,1,3,1,"EID2, Olival",1,100
Myodes rutilus,Mammalia,Rodentia,Cricetidae,"Bunyamwera, California encephalitis, Cowpox, Echinococcus multilocularis, Powassan, Tick-borne encephalitis","Bunyamwera, Cowpox, Echinococcus multilocularis, Tick-borne encephalitis","Catenotaenia henttoneni, Syphacia petrusewiczi, Taenia mustelae","bacteria/rickettsia, protozoa, virus, helminth",Detection/ reservoir,1,13,3,"EID2, Olival, Plourde",1,15
Neacomys spinosus,Mammalia,Rodentia,Cricetidae,"Andes, Rio mamore","Andes, Rio mamore",Amapari,virus,Detection/ reservoir,1,2,1,"Olival, Han",1,3
Necromys lasiurus,Mammalia,Rodentia,Cricetidae,"Andes, Araraquara, Leishmania braziliensis, Trypanosoma cruzi, Yersinia pestis","Andes, Araraquara, Leishmania braziliensis, Trypanosoma cruzi, Yersinia pestis",,"virus, protozoa, bacteria/rickettsia",Detection/ reservoir,1,5,0,"EID2, Olival, Han, Plourde",3,51
Oecomys bicolor,Mammalia,Rodentia,Cricetidae,Flexal,NA,Allpaahuayo,virus,Serological,0,1,1,"EID2, Olival",2,8
Oligoryzomys chacoensis,Mammalia,Rodentia,Cricetidae,"Andes, Bermejo, Trypanosoma cruzi","Andes, Bermejo, Trypanosoma cruzi",,"virus, protozoa",Detection/ reservoir,1,3,0,"EID2, Olival, Han",1,5
Oligoryzomys flavescens,Mammalia,Rodentia,Cricetidae,"Andes, Bermejo, Junin, Lechiguanas, Vaccinia","Andes, Bermejo, Junin, Lechiguanas",,virus,Detection/ reservoir,1,5,0,"EID2, Olival, Han, Plourde",1,30
Oligoryzomys fornesi,Mammalia,Rodentia,Cricetidae,"Anajatuba, Andes, Rio mamore","Anajatuba, Rio mamore",,virus,Detection/ reservoir,1,4,0,"EID2, Olival, Han",1,5
Oligoryzomys longicaudatus,Mammalia,Rodentia,Cricetidae,"Andes, Guanarito","Andes, Guanarito",,virus,Detection/ reservoir,1,3,0,"EID2, Olival, Han, Plourde",2,44
Oligoryzomys nigripes,Mammalia,Rodentia,Cricetidae,"Andes, Human picobirnavirus, Juquitiba, St. louis encephalitis, Vaccinia","Andes, Juquitiba, St. louis encephalitis",,virus,Detection/ reservoir,1,5,0,"EID2, Olival, Han, Plourde",2,46
Peromyscus maniculatus,Mammalia,Rodentia,Cricetidae,"Anaplasma phagocytophilum, Bartonella vinsonii, Borrelia burgdorferi, Colorado tick fever, Cryptosporidium parvum, Giardia intestinalis, Modoc, Powassan, Sin nombre, St. louis encephalitis, Vesicular stomatitis new jersey, Western equine encephalitis, Whitewater arroyo","Anaplasma phagocytophilum, Bartonella vinsonii, Borrelia burgdorferi, Colorado tick fever, Cryptosporidium parvum, Giardia intestinalis, Modoc, Sin nombre, Western equine encephalitis","Mopeia, Prospect hill","bacteria/rickettsia, virus, protozoa",Detection/ reservoir,1,13,2,"EID2, Olival, Han, Plourde",1,15
Phyllotis darwini,Mammalia,Rodentia,Cricetidae,"Andes, Trypanosoma cruzi",Trypanosoma cruzi,,"virus, protozoa",Detection/ reservoir,1,2,0,"Olival, Han",1,12
Cuniculus paca,Mammalia,Rodentia,Cuniculidae,"Echinococcus oligarthrus, Echinococcus vogeli, Lagochilascaris minor, Leishmania lainsoni, Venezuelan equine encephalitis","Echinococcus oligarthrus, Echinococcus vogeli, Lagochilascaris minor, Leishmania lainsoni",,"helminth, protozoa, virus",Detection/ reservoir,1,5,0,"Olival, Plourde",3,70
Dasyprocta leporina,Mammalia,Rodentia,Dasyproctidae,"Dengue, Echinococcus oligarthrus, Lagochilascaris minor, Leishmania amazonensis, Mayaro, Yellow fever","Echinococcus oligarthrus, Lagochilascaris minor, Leishmania amazonensis, Yellow fever",,"virus, helminth, protozoa",Detection/ reservoir,1,7,0,"EID2, Olival, Han, Plourde",4,51
Dasyprocta punctata,Mammalia,Rodentia,Dasyproctidae,"Echinococcus oligarthrus, Lagochilascaris minor, Mayaro, Vesicular stomatitis indiana","Echinococcus oligarthrus, Lagochilascaris minor",Turgida torresi,"helminth, virus",Detection/ reservoir,1,4,1,"EID2, Olival, Plourde",1,28
Atherurus africanus,Mammalia,Rodentia,Hystricidae,Trypanosoma brucei,Trypanosoma brucei,"Cercopithifilaria roussilhoni, Plasmodium atheruri",protozoa,Detection/ reservoir,1,1,2,"EID2, Han",2,96
Hystrix africaeaustralis,Mammalia,Rodentia,Hystricidae,Crimean-congo hemorrhagic fever,NA,,virus,Serological,1,1,0,Olival,1,84
Apodemus agrarius,Mammalia,Rodentia,Muridae,"Babesia microti, Bartonella elizabethae, Borrelia afzelii, Borrelia garinii, California encephalitis, Cryptosporidium parvum, Dobrava-belgrade, Hantaan, Hymenolepis nana, Leptospira interrogans, Lymphocytic choriomeningitis, Orientia tsutsugamushi, Saaremaa, Tick-borne encephalitis","Babesia microti, Bartonella elizabethae, Borrelia afzelii, Borrelia garinii, Cryptosporidium parvum, Dobrava-belgrade, Hantaan, Hymenolepis nana, Leptospira interrogans, Orientia tsutsugamushi, Saaremaa, Tick-borne encephalitis","Bartonella taylorii, Borrelia valaisiana, Helicobacter apodemus, Heligmosomoides polygyrus, Mesocestoides litteratus, Murine adenovirus c, Rodentolepis straminea, Trypanosoma grosi","bacteria/rickettsia, protozoa, virus, helminth",Detection/ reservoir,1,24,7,"EID2, Olival, Han, Plourde",1,14
Desmodillus auricularis,Mammalia,Rodentia,Muridae,Wesselsbron,Wesselsbron,,virus,Detection/ reservoir,1,1,0,"EID2, Olival",2,22
Gerbilliscus kempii,Mammalia,Rodentia,Muridae,Koutango,Koutango,"Arumowot, Keuraliba, Qalyub, Saboya, Taterapox",virus,Detection/ reservoir,1,1,4,Olival,1,107
Gerbilliscus leucogaster,Mammalia,Rodentia,Muridae,Crimean-congo hemorrhagic fever,NA,,virus,Serological,1,1,0,Olival,1,2
Hydromys chrysogaster,Mammalia,Rodentia,Muridae,"Encephalomyocarditis, Sindbis",Encephalomyocarditis,,virus,Detection/ reservoir,1,2,0,Olival,1,168
Lemniscomys striatus,Mammalia,Rodentia,Muridae,"Bunyamwera, Koutango",Koutango,"Ippy, Witwatersrand",virus,Detection/ reservoir,1,3,2,"EID2, Olival",1,107
Mastomys erythroleucus,Mammalia,Rodentia,Muridae,"Koutango, Lassa, Leishmania major, Rift valley","Koutango, Lassa, Leishmania major","Mobala, Qalyub","virus, protozoa",Detection/ reservoir,1,4,1,"Olival, Han",1,107
Mastomys natalensis,Mammalia,Rodentia,Muridae,"Banzi, Bartonella elizabethae, Chikungunya, Dugbe, Lassa, Leishmania major, Leptospira interrogans, Yersinia pestis","Banzi, Bartonella elizabethae, Lassa, Leishmania major, Leptospira interrogans, Yersinia pestis","Bluetongue, Mastomys natalensis papillomavirus, Mopeia, Qalyub, Uganda s, Witwatersrand","virus, bacteria/rickettsia, protozoa",Detection/ reservoir,1,9,5,"EID2, Olival, Han, Plourde",1,107
Micaelamys namaquensis,Mammalia,Rodentia,Muridae,"Crimean-congo hemorrhagic fever, Rift valley",NA,,virus,Serological,1,2,0,Olival,2,22
Niviventer confucianus,Mammalia,Rodentia,Muridae,"Babesia microti, Bartonella grahamii, Dabieshan, Hantaan","Babesia microti, Bartonella grahamii, Hantaan",,"bacteria/rickettsia, protozoa, virus",Detection/ reservoir,1,5,0,"EID2, Olival, Han",1,14
Rattus exulans,Mammalia,Rodentia,Muridae,"Angiostrongylus cantonensis, Encephalomyocarditis, Lassa, Leptospira borgpetersenii, Leptospira interrogans, Orientia tsutsugamushi, Rickettsia typhi, Yersinia pestis","Angiostrongylus cantonensis, Leptospira borgpetersenii, Leptospira interrogans, Orientia tsutsugamushi, Rickettsia typhi, Yersinia pestis",Murid herpesvirus 2,"helminth, virus, bacteria/rickettsia",Detection/ reservoir,1,8,0,"Olival, Han",1,6
Rattus tanezumi,Mammalia,Rodentia,Muridae,"Angiostrongylus cantonensis, Cryptosporidium parvum, Seoul","Angiostrongylus cantonensis, Cryptosporidium parvum, Seoul",,"helminth, bacteria/rickettsia, protozoa, virus",Detection/ reservoir,1,4,0,"EID2, Olival, Han",1,14
Rattus tiomanicus,Mammalia,Rodentia,Muridae,"Angiostrongylus cantonensis, Hymenolepis nana, Leptospira interrogans","Angiostrongylus cantonensis, Hymenolepis nana, Leptospira interrogans","Angiostrongylus malaysiensis, Murid herpesvirus 2, Murid herpesvirus 4","helminth, bacteria/rickettsia",Detection/ reservoir,1,3,1,"EID2, Olival, Han",1,6
Rhabdomys pumilio,Mammalia,Rodentia,Muridae,"Crimean-congo hemorrhagic fever, Hymenolepis nana",Hymenolepis nana,,"virus, helminth",Detection/ reservoir,1,2,0,"Olival, Han",2,22
Cricetomys gambianus,Mammalia,Rodentia,Nesomyidae,"Bartonella elizabethae, Dugbe, Kotonkan, Monkeypox, Trypanosoma brucei","Bartonella elizabethae, Dugbe, Monkeypox, Trypanosoma brucei","Ife, Qalyub, Uganda s","bacteria/rickettsia, virus, protozoa",Detection/ reservoir,1,5,2,"Olival, Han",1,107
Octodon degus,Mammalia,Rodentia,Octodontidae,Trypanosoma cruzi,Trypanosoma cruzi,,protozoa,Detection/ reservoir,1,2,0,"EID2, Han",1,12
Funambulus tristriatus,Mammalia,Rodentia,Sciuridae,Kyasanur forest disease,NA,,virus,Serological,1,1,0,Olival,1,9
Xerus erythropus,Mammalia,Rodentia,Sciuridae,Bhanja,Bhanja,Qalyub,virus,Detection/ reservoir,1,1,1,Olival,1,107
Thryonomys swinderianus,Mammalia,Rodentia,Thryonomyidae,Lebombo,Lebombo,,virus,Detection/ reservoir,1,1,0,Olival,1,10
Calomys callidus,Mammalia,Rodentia,,Laguna negra,Laguna negra,,virus,Detection/ reservoir,1,1,0,Han,1,5
Eothenomys melanogaster,Mammalia,Rodentia,,Bartonella grahamii,Bartonella grahamii,,bacteria/rickettsia,Detection/ reservoir,1,1,0,Han,1,14
Leopoldamys edwardsi,Mammalia,Rodentia,,Borrelia burgdorferi,Borrelia burgdorferi,,bacteria/rickettsia,Detection/ reservoir,1,1,0,Han,1,14
Rhipidomys leucodactylus,Mammalia,Rodentia,,Leishmania infantum,Leishmania infantum,,protozoa,Detection/ reservoir,1,1,0,Han,1,3
Iguana iguana,Reptilia,Squamata,Iguanidae,"Chlamydophila felis, Chlamydophila pneumoniae, Cryptosporidium parvum",NA,"Chrysosporium guarroi, Mycoplasma iguanae, Mycoplasma insons, Reptilian orthoreovirus","bacteria/rickettsia, protozoa",Cargo- carrier,1,3,4,EID2,1,162
